FULL NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,SPG,BPG,TOPG
Ben Simmons,Phi,G-F,23,12,35.1,16.6,40,0.575,116,0.621,0,0,13.9,7.1,6,1.25,1,2.67
Jordan Bell,Gol,F,24,15,7,15.4,10,0.7,31,0.548,0,0,2.7,1.3,0.7,0.27,0.47,0.13
Quinn Cook,Gol,G,26,17,11.4,17.5,4,1,36,0.472,34,0.324,4.2,1.1,0.7,0.18,0.06,0.35
Kevin Durant,Gol,F,31,12,36.8,33,113,0.903,163,0.552,80,0.438,32.3,4.9,4.5,1.08,1,3.58
Clint Capela,Hou,C,25,11,30.1,15.1,35,0.429,82,0.561,0,0,9.7,10.3,1.5,0.27,1.09,1.45
Eric Gordon,Hou,G,30,11,37.2,20.3,28,0.857,55,0.527,95,0.4,17.8,2.5,1.3,0.64,1,2.45
Gerald Green,Hou,G-F,33,11,8.8,20.4,5,1,11,0.182,29,0.345,3.5,1.1,0.1,0.27,0.27,0.27
James Harden,Hou,G,30,11,38.6,37.1,98,0.837,127,0.48,137,0.35,31.6,6.9,6.6,2.18,0.91,4.64
Chris Paul,Hou,G,34,11,36.1,22.6,45,0.844,85,0.576,63,0.27,17,6.4,5.5,2.18,0.64,3.36
PJ Tucker,Hou,F,34,11,38.7,11,23,0.826,31,0.452,57,0.456,11.4,7.5,1.7,1.73,0.73,0.73
Joel Embiid,Phi,F-C,25,11,30.4,30.2,90,0.822,120,0.467,39,0.308,20.2,10.5,3.4,0.73,2.27,3.64
James Ennis III,Phi,F,29,11,21.1,15,19,0.632,32,0.688,32,0.281,7.5,3.8,1.1,0.36,0.27,0.91
Tim Frazier,Mil,G,29,11,3.6,18.2,2,1,7,0.714,6,0.5,1.9,0.8,0.9,0.18,0,0.27
Meyers Leonard,Por,F-C,27,11,15.5,18.6,9,0.333,32,0.625,33,0.424,7.7,3.6,1.1,0.18,0.09,0.36
Sterling Brown,Mil,G,24,11,14.7,13.5,11,0.727,17,0.471,21,0.333,4.1,2.7,1.7,0.55,0.27,0.73
Jonah Bolden,Phi,F,23,10,7.9,15.9,4,0.5,3,0.333,16,0.25,1.6,1.4,0.3,0.2,0.1,0.9
Boban Marjanovic,Phi,C,31,10,10.5,25.2,19,0.842,37,0.649,3,0,6.4,3.6,1.1,0.2,0.3,1.4
Greg Monroe,Phi,C,29,10,9,22.6,9,0.778,36,0.417,4,0.25,4,3.1,0.4,0.5,0.4,0.4
Austin Rivers,Hou,G,27,10,21.5,14.8,6,0.667,27,0.407,35,0.457,7.4,2.1,1,0.5,0.1,0.8
Mike Scott,Phi,F,31,10,19.3,12,2,1,13,0.692,34,0.353,5.6,3.4,0.5,0.3,0,0.7
T.J. McConnell,Phi,G,27,9,8.3,15.8,0,0,27,0.444,0,0,2.7,0.7,1.2,0.22,0.11,0.11
Aron Baynes,Bos,F-C,33,9,12.8,7.5,2,0.5,8,0.75,6,0.333,2.1,2.8,0.3,0.33,0.33,0.56
Jaylen Brown,Bos,F,23,9,30.4,18.4,30,0.767,47,0.638,40,0.35,13.9,5.8,1.1,0.67,0.22,1.67
Gordon Hayward,Bos,F,29,9,29.6,15.3,19,1,46,0.435,24,0.375,9.6,4,2.4,0.67,0.33,1.67
Al Horford,Bos,F-C,33,9,34.5,19.3,18,0.833,66,0.424,44,0.409,13.9,9,4.4,0.44,0.78,2.11
Kyrie Irving,Bos,G,27,9,36.7,29.8,40,0.9,121,0.421,58,0.31,21.3,4.4,7,1.33,0.44,3.11
Marcus Morris,Bos,F,30,9,28.3,17.2,31,0.742,39,0.59,40,0.45,13.7,8.1,1.2,0.11,0.56,0.78
Terry Rozier,Bos,G,25,9,18,20.6,16,0.75,25,0.44,34,0.235,6.4,4.3,1.9,0.44,0.22,1.11
Jayson Tatum,Bos,F,21,9,32.8,21.8,39,0.744,81,0.481,31,0.323,15.2,6.7,1.9,1.11,0.78,2
Malcolm Miller,Tor,F,26,10,2.8,17.5,4,0.75,2,0.5,6,0.167,0.8,0.5,0.1,0,0.1,0.1
Tony Snell,Mil,G,28,9,3.2,9.1,0,0,4,0.25,2,0.5,0.6,0.2,0,0.11,0.11,0
Iman Shumpert,Hou,G,29,8,13.7,12.3,4,0.25,4,0.5,22,0.364,3.6,1.5,0.3,0.13,0,0.38
D.J. Wilson,Mil,F,23,8,5.3,24,2,1,11,0.636,5,0.2,2.4,1.3,0.5,0,0.13,0.88
Eric Moreland,Tor,F-C,27,8,3.5,3.2,0,0,2,0.5,0,0,0.3,1.6,0.4,0,0,0
Patrick McCaw,Tor,G,24,11,4.4,6.4,2,1,2,0,3,0.333,0.5,0.3,0.4,0.18,0,0.09
LaMarcus Aldridge,San,F,34,7,34.9,27,33,0.818,110,0.473,11,0.273,20,9.6,2.7,0.71,1,1
Marco Belinelli,San,G-F,33,7,18.8,15,6,0.833,17,0.353,21,0.381,5.9,1.9,1.1,0,0.29,0.29
DeMar DeRozan,San,G,30,7,35.8,27.8,44,0.864,118,0.492,1,0,22,6.7,4.6,1.14,0.14,1.71
Bryn Forbes,San,G,26,7,30.3,13.7,9,0.667,25,0.48,31,0.484,10.7,3.6,1,0.14,0.14,0.43
Rudy Gay,San,F,33,7,25.5,22.7,17,0.824,51,0.392,19,0.421,11.1,7.1,1.7,0.43,0.71,1.43
Patty Mills,San,G,31,7,21.8,15.3,10,0.6,21,0.524,22,0.136,5.3,2.1,3.6,1,0.14,0.43
Jakob Poeltl,San,C,24,7,25.3,11.2,9,0.556,35,0.657,1,0,7.3,7.7,1.7,0.29,0.71,0.43
Derrick White,San,G,25,7,27.2,24.6,26,0.731,58,0.621,17,0.294,15.1,3,3,0.71,0.71,2.14
Danuel House Jr.,Hou,F-G,26,7,20.1,13.9,8,0.5,6,0.5,31,0.258,4.9,3.1,0.1,0.43,0.29,0.57
Daniel Theis,Bos,F,27,7,6,16.6,2,1,12,0.417,2,0,1.7,1.4,0,0.14,0.14,0.14
Jonathon Simmons,Phi,F,30,7,7.4,30.8,4,0.75,20,0.4,10,0.2,3.6,1.3,0.3,0.14,0,0.86
Nene,Hou,C-F,37,7,7.5,14.1,9,0.778,10,1,0,0,3.9,2,0.4,0.43,0.29,0.43
Jeremy Lin,Tor,G,31,8,3.4,26.5,4,1,7,0.143,2,0.5,1.1,0.4,0.5,0.13,0,0.63
Malcolm Brogdon,Mil,G,27,7,28.3,20.1,11,0.636,41,0.512,37,0.378,13,4.9,3.4,0.71,0.14,1.43
Patrick Beverley,Lac,G,31,6,32.4,12.8,8,0.75,17,0.412,30,0.433,9.8,8,4.7,1,0.83,1.67
Danilo Gallinari,Lac,F,31,6,33.6,27.8,33,0.848,67,0.388,43,0.302,19.8,6.2,2.7,1.33,0.17,2
