FULL NAME,TEAM,POS,AGE,GP,MPG,USG%,FTA,FT%,2PA,2P%,3PA,3P%,PPG,RPG,APG,AST%,SPG,BPG,TOPG,VI,ORTG,DRTG
Monte Morris,Den,G,23.97,14,16,19.4,13,0.692,73,0.452,13,0,5.4,1.4,2.6,24.3,0.36,0.07,0.43,6.7,99.1,108.5
Jamal Murray,Den,G,22.3,14,36.3,26.5,62,0.903,171,0.462,83,0.337,21.3,4.4,4.7,21.7,1.07,0.14,1.57,8.4,113.6,109.9
Mason Plumlee,Den,F-C,29.28,14,15.6,13.5,28,0.571,45,0.533,1,0,4.6,4.4,1.5,13.8,0.5,0.71,0.57,8,122.2,92.5
Andrew Bogut,Gol,C,34.54,19,9.4,12,5,0.8,37,0.649,0,0,2.7,3.9,1.1,16.5,0.26,0.32,0.53,9.6,131.8,87
Nikola Mirotic,Mil,F,28.34,14,21.3,20.6,28,0.821,41,0.537,76,0.289,9.5,4.3,0.7,5,0.71,0.21,1,5.7,102.7,99.6
Jodie Meeks,Tor,G,31.81,14,4.8,22.7,3,0.667,16,0.438,13,0.154,1.6,0.6,0.1,2.3,0.29,0.07,0.21,3.8,69.4,97.8
Jonas Jerebko,Gol,F,32.29,16,7.6,16.7,6,0.833,23,0.304,19,0.263,2.1,2.1,0.8,13.3,0.06,0.13,0.13,8,105.5,107.6
Jimmy Butler,Phi,G-F,29.75,12,35.1,23,72,0.875,130,0.515,45,0.267,19.4,6.1,5.2,23.2,1.42,0.58,1.83,9.7,119.4,107.8
Tobias Harris,Phi,F,26.91,12,36.9,18.7,26,0.846,103,0.476,63,0.349,15.5,9.1,4,16.4,1.08,0.5,1.58,9,108.7,103.9
JJ Redick,Phi,G,34.97,12,31.3,17.4,20,0.85,37,0.486,87,0.414,13.4,1.4,1.6,7.5,0.08,0.25,1.83,4,106.6,108.2
Ben Simmons,Phi,G-F,22.9,12,35.1,16.6,40,0.575,116,0.621,0,0,13.9,7.1,6,26.3,1.25,1,2.67,9.6,118.1,101.3
Jordan Bell,Gol,F,24.43,15,7,15.4,10,0.7,31,0.548,0,0,2.7,1.3,0.7,15.2,0.27,0.47,0.13,7.7,128.6,101.6
Quinn Cook,Gol,G,26.23,17,11.4,17.5,4,1,36,0.472,34,0.324,4.2,1.1,0.7,8.8,0.18,0.06,0.35,5.2,99.4,110.2
Kevin Durant,Gol,F,30.7,12,36.8,33,113,0.903,163,0.552,80,0.438,32.3,4.9,4.5,21.6,1.08,1,3.58,9.7,119.7,105.8
Clint Capela,Hou,C,25.07,11,30.1,15.1,35,0.429,82,0.561,0,0,9.7,10.3,1.5,7.7,0.27,1.09,1.45,7.1,115.2,104.6
Eric Gordon,Hou,G,30.47,11,37.2,20.3,28,0.857,55,0.527,95,0.4,17.8,2.5,1.3,5.7,0.64,1,2.45,4.2,107,112
Gerald Green,Hou,G-F,33.38,11,8.8,20.4,5,1,11,0.182,29,0.345,3.5,1.1,0.1,1.6,0.27,0.27,0.27,3.3,91.9,101.4
James Harden,Hou,G,29.8,11,38.6,37.1,98,0.837,127,0.48,137,0.35,31.6,6.9,6.6,33.7,2.18,0.91,4.64,11.7,110.2,101.8
Chris Paul,Hou,G,34.11,11,36.1,22.6,45,0.844,85,0.576,63,0.27,17,6.4,5.5,25.1,2.18,0.64,3.36,9.3,108.8,102.8
PJ Tucker,Hou,F,34.11,11,38.7,11,23,0.826,31,0.452,57,0.456,11.4,7.5,1.7,6.6,1.73,0.73,0.73,5.4,133.1,104.4
Joel Embiid,Phi,F-C,25.25,11,30.4,30.2,90,0.822,120,0.467,39,0.308,20.2,10.5,3.4,17.9,0.73,2.27,3.64,11.8,105.4,99
James Ennis III,Phi,F,28.95,11,21.1,15,19,0.632,32,0.688,32,0.281,7.5,3.8,1.1,7.5,0.36,0.27,0.91,6,113.5,100.5
Tim Frazier,Mil,G,28.62,11,3.6,18.2,2,1,7,0.714,6,0.5,1.9,0.8,0.9,40.7,0.18,0,0.27,12.3,,
Meyers Leonard,Por,F-C,27.29,11,15.5,18.6,9,0.333,32,0.625,33,0.424,7.7,3.6,1.1,11.8,0.18,0.09,0.36,8.1,125.2,96.4
Sterling Brown,Mil,G,24.34,11,14.7,13.5,11,0.727,17,0.471,21,0.333,4.1,2.7,1.7,16.2,0.55,0.27,0.73,7.2,107.5,96.7
Jonah Bolden,Phi,F,23.45,10,7.9,15.9,4,0.5,3,0.333,16,0.25,1.6,1.4,0.3,5,0.2,0.1,0.9,4.4,66.5,97.8
